price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
0.25,5000.0,500.0,500,1,1,1,6.0,1,0,0,0,0,0,0,74,1.115,89
0.5,90909.0,55.0,55,12,4,3,4.0,4,0,0,0,0,0,0,15,1.375,13
0.67,8557.0,783.0,87,3,2,1,1.0,3,0,0,0,1,1,0,19,0.65,4
0.56,8632.0,649.0,651,1,1,2,6.0,3,0,0,0,0,0,0,77,1.36,2
1.75,10257.0,1706.0,1706,3,4,3,20.0,2,0,0,0,0,1,2,49,1.655,70
4.15,18444.0,2250.0,250,5,4,2,2.0,4,0,0,0,0,0,1,51,4.26,14
3.4,14418.0,2358.0,2358,3,4,3,17.0,2,0,1,0,0,0,1,174,3.0,67
0.95,8600.0,1105.0,1103,2,2,2,4.0,1,1,1,0,0,0,0,38,1.115,89
2.3,10936.0,2103.0,2103,3,3,3,19.0,2,1,1,0,1,1,2,49,2.205,81
7.6,38760.0,1961.0,215,9,9,3,4.0,2,1,0,1,1,0,1,84,9.0,25
0.32,5736.0,558.0,549,2,2,1,10.0,2,0,0,0,1,0,1,50,0.4,95
0.45,6000.0,750.0,750,1,1,2,6.0,5,0,0,0,0,0,0,0,1.7,102
2.99,20635.0,1449.0,161,4,4,2,2.0,3,1,1,0,1,0,1,49,1.7,56
3.87,5160.0,7500.0,1623,19,17,3,5.0,2,1,0,1,0,0,0,68,3.5,17
1.5,6976.0,2150.0,2150,3,4,3,4.0,2,0,1,0,0,0,0,39,2.175,109
2.65,18928.0,1400.0,2160,3,3,3,4.0,1,0,1,0,0,0,1,22,7.0,41
1.5,7576.0,1980.0,220,7,2,0,1.0,5,0,0,0,0,0,0,0,0.85,3
1.5,7894.0,1900.0,1900,3,3,1,16.0,2,0,0,0,0,1,0,49,1.27,86
9.3,24926.0,3731.0,3931,4,4,3,10.0,3,1,1,1,1,0,1,67,5.15,48
1.19,7225.0,1647.0,1640,2,2,3,4.0,2,0,0,0,0,0,0,49,1.19,83
0.5,4761.0,1050.0,1050,3,2,2,5.0,2,0,0,0,0,1,0,35,0.675,107
1.4,15826.0,885.0,1389,3,2,2,4.0,0,0,0,0,0,0,0,49,1.58,104
1.0,6896.0,1450.0,1450,2,2,3,7.0,2,1,0,0,0,0,0,72,1.38,88
1.3,7424.0,1751.0,1751,3,3,3,10.0,2,0,0,0,0,0,0,49,1.5,114
0.9,6428.0,1400.0,1485,3,3,2,12.0,2,0,0,0,0,0,0,120,1.3,85
0.5,50000.0,100.0,100,2,2,0,1.0,5,0,0,0,0,0,0,0,0.6,105
1.15,5808.0,1980.0,1980,3,3,2,3.0,2,1,1,1,1,0,1,165,1.19,83
1.36,8618.0,1578.0,1578,3,3,2,12.0,2,0,0,0,1,0,1,49,1.535,69
1.1,12222.0,900.0,900,6,4,1,1.0,5,0,0,0,0,0,0,0,0.6,105
1.4,11666.0,1200.0,1368,2,2,3,0.0,2,0,0,0,0,0,0,80,1.7,102
2.8,18667.0,1500.0,1500,4,4,0,2.0,5,0,0,0,0,0,0,0,3.325,55
10.45,32253.0,3240.0,360,5,7,3,3.0,3,1,1,0,1,1,1,153,6.975,50
0.34,7039.0,483.0,483,2,2,1,1.0,2,0,0,1,0,0,1,84,0.9,84
0.39,6500.0,600.0,600,2,2,0,5.0,5,0,0,0,0,0,0,0,0.9,84
1.1,11111.0,990.0,990,6,4,1,2.0,5,0,0,0,0,0,0,0,0.65,4
0.35,6076.0,576.0,576,2,2,2,12.0,1,0,0,0,0,0,0,42,1.5,114
1.75,11121.0,1574.0,2724,4,3,3,8.0,2,1,1,1,1,0,0,128,1.75,91
2.1,10418.0,2016.0,2015,3,3,3,9.0,3,0,0,0,1,0,1,132,2.675,49
3.65,15240.0,2395.0,1870,3,3,3,9.0,2,0,0,0,0,1,1,157,5.15,48
0.95,6485.0,1465.0,1465,2,2,3,3.0,1,1,0,0,0,0,0,89,1.5,114
1.29,8227.0,1568.0,1568,3,3,1,12.0,2,0,0,0,1,0,1,86,1.535,69
0.75,10067.0,745.0,745,2,2,2,11.0,1,0,0,0,0,0,0,40,1.46,76
1.85,10283.0,1799.0,1799,3,3,3,2.0,2,0,0,0,0,0,1,44,2.4,82
0.7,5719.0,1224.0,1224,2,2,2,5.0,5,0,0,0,0,0,0,0,0.95,78
0.32,5827.0,549.0,549,2,2,1,9.0,2,0,0,0,1,0,1,71,0.4,95
0.85,3695.0,2300.0,2300,3,3,2,2.0,3,0,0,0,0,0,0,44,1.5,114
1.25,5701.0,2193.0,2105,4,4,3,16.0,2,0,0,0,0,0,0,0,0.85,93
0.54,5888.0,917.0,900,2,2,1,3.0,2,0,0,0,0,0,0,70,1.16,7
0.79,6594.0,1198.0,1198,2,2,2,8.0,2,0,0,0,0,1,0,0,1.0,71
10.0,37037.0,2700.0,2700,5,5,3,3.0,3,0,1,0,1,0,2,29,9.0,25
0.28,57.0,49123.0,48811,1,1,2,1.0,2,1,0,0,0,0,0,37,1.5,114
1.71,7600.0,2250.0,2251,3,3,3,5.0,3,0,1,0,0,0,1,118,1.7,56
1.4,9655.0,1450.0,1615,3,3,3,10.0,2,0,0,0,0,0,1,142,3.35,110
3.65,13528.0,2698.0,2698,3,4,3,18.0,2,0,1,0,1,0,1,61,3.0,67
7.49,27741.0,2700.0,300,12,12,3,4.0,2,1,1,0,1,0,1,49,3.325,55
0.6,8000.0,750.0,750,3,2,2,8.0,5,0,0,0,0,0,0,55,0.675,107
1.44,9125.0,1578.0,1578,3,3,2,1.0,2,0,0,0,1,0,0,174,1.535,69
2.37,11500.0,2061.0,2060,4,4,3,20.0,0,1,0,0,0,0,0,143,2.45,113
0.2,6644.0,301.0,301,1,2,2,3.0,1,0,0,0,0,0,0,67,1.58,104
